State,Filed_week_ended,Initial_Claims,Reflecting_Week_Ended,Continued_Claims,Covered_Employment,Insured_Unemployment_Rate
Alabama,1/5/19,"6,660",12/29/18,"22,085","1,894,608",1.17
Alabama,1/12/19,"4,386",1/5/19,"20,075","1,894,608",1.06
Alabama,1/19/19,"3,217",1/12/19,"17,574","1,894,608",0.93
Alabama,1/26/19,"2,414",1/19/19,"16,904","1,894,608",0.89
Alabama,2/2/19,"2,505",1/26/19,"16,343","1,894,608",0.86
Alabama,2/9/19,"2,659",2/2/19,"16,382","1,894,608",0.86
Alabama,2/16/19,"1,960",2/9/19,"15,578","1,894,608",0.82
Alabama,2/23/19,"2,193",2/16/19,"15,894","1,894,608",0.84
Alabama,3/2/19,"2,306",2/23/19,"15,715","1,894,608",0.83
Alabama,3/9/19,"2,106",3/2/19,"14,790","1,894,608",0.78
Alabama,3/16/19,"2,149",3/9/19,"14,372","1,894,608",0.76
Alabama,3/23/19,"2,220",3/16/19,"14,269","1,894,608",0.75
Alabama,3/30/19,"2,250",3/23/19,"14,131","1,894,608",0.75
Alabama,4/6/19,"2,891",3/30/19,"14,581","1,894,608",0.77
Alabama,4/13/19,"2,381",4/6/19,"13,967","1,901,111",0.73
Alabama,4/20/19,"1,935",4/13/19,"13,870","1,901,111",0.73
Alabama,4/27/19,"1,920",4/20/19,"13,627","1,901,111",0.72
Alabama,5/4/19,"2,474",4/27/19,"13,900","1,901,111",0.73
Alabama,5/11/19,"2,404",5/4/19,"14,009","1,901,111",0.74
Alabama,5/18/19,"2,481",5/11/19,"14,501","1,901,111",0.76
Alabama,5/25/19,"2,729",5/18/19,"14,681","1,901,111",0.77
Alabama,6/1/19,"2,929",5/25/19,"15,210","1,901,111",0.8
Alabama,6/8/19,"2,790",6/1/19,"16,100","1,901,111",0.85
Alabama,6/15/19,"2,422",6/8/19,"15,927","1,901,111",0.84
Alabama,6/22/19,"2,380",6/15/19,"17,698","1,901,111",0.93
Alabama,6/29/19,"3,278",6/22/19,"17,260","1,901,111",0.91
Alabama,7/6/19,"2,363",6/29/19,"17,885","1,901,111",0.94
Alabama,7/13/19,"4,293",7/6/19,"20,440","1,908,660",1.07
Alabama,7/20/19,"2,785",7/13/19,"18,778","1,908,660",0.98
Alabama,7/27/19,"2,292",7/20/19,"17,961","1,908,660",0.94
Alabama,8/3/19,"2,425",7/27/19,"17,865","1,908,660",0.94
Alabama,8/10/19,"2,195",8/3/19,"17,372","1,908,660",0.91
Alabama,8/17/19,"2,123",8/10/19,"16,635","1,908,660",0.87
Alabama,8/24/19,"2,055",8/17/19,"15,948","1,908,660",0.84
Alabama,8/31/19,"2,135",8/24/19,"15,707","1,908,660",0.82
Alabama,9/7/19,"1,769",8/31/19,"15,325","1,908,660",0.8
Alabama,9/14/19,"2,081",9/7/19,"15,310","1,908,660",0.8
Alabama,9/21/19,"1,999",9/14/19,"15,060","1,908,660",0.79
Alabama,9/28/19,"1,879",9/21/19,"14,687","1,908,660",0.77
Alabama,10/5/19,"2,057",9/28/19,"14,607","1,908,660",0.77
Alabama,10/12/19,"2,161",10/5/19,"14,430","1,914,918",0.75
Alabama,10/19/19,"1,703",10/12/19,"14,490","1,914,918",0.76
Alabama,10/26/19,"1,984",10/19/19,"14,197","1,914,918",0.74
Alabama,11/2/19,"1,977",10/26/19,"14,214","1,914,918",0.74
Alabama,11/9/19,"2,208",11/2/19,"14,125","1,914,918",0.74
Alabama,11/16/19,"1,888",11/9/19,"14,152","1,914,918",0.74
Alabama,11/23/19,"2,290",11/16/19,"14,304","1,914,918",0.75
Alabama,11/30/19,"2,032",11/23/19,"14,157","1,914,918",0.74
Alabama,12/7/19,"3,227",11/30/19,"15,961","1,914,918",0.83
Alabama,12/14/19,"2,362",12/7/19,"15,078","1,914,918",0.79
Alabama,12/21/19,"3,163",12/14/19,"15,146","1,914,918",0.79
Alabama,12/28/19,"3,200",12/21/19,"15,544","1,914,918",0.81
Alabama,1/4/20,"4,578",12/28/19,"18,523","1,923,741",0.96
Alabama,1/11/20,"3,629",1/4/20,"21,143","1,923,741",1.1
Alabama,1/18/20,"2,483",1/11/20,"17,402","1,923,741",0.9
Alabama,1/25/20,"2,129",1/18/20,"18,390","1,923,741",0.96
Alabama,2/1/20,"2,170",1/25/20,"17,284","1,923,741",0.9
Alabama,2/8/20,"2,176",2/1/20,"16,745","1,923,741",0.87
Alabama,2/15/20,"1,981",2/8/20,"16,571","1,923,741",0.86
Alabama,2/22/20,"1,735",2/15/20,"16,059","1,923,741",0.83
Alabama,2/29/20,"1,575",2/22/20,"14,721","1,923,741",0.77
Alabama,3/7/20,"1,663",2/29/20,"13,657","1,923,741",0.71
Alabama,3/14/20,"1,819",3/7/20,"13,070","1,923,741",0.68
Alabama,3/21/20,"10,892",3/14/20,"12,487","1,923,741",0.65
Alabama,3/28/20,"80,984",3/21/20,"18,083","1,923,741",0.94
Alabama,4/4/20,"106,739",3/28/20,"52,176","1,923,741",2.71
Alabama,4/11/20,"77,515",4/4/20,"95,325","1,929,897",4.94
Alabama,4/18/20,"66,432",4/11/20,"144,327","1,929,897",7.48
Alabama,4/25/20,"74,966",4/18/20,"173,855","1,929,897",9.01
Alabama,5/2/20,"28,985",4/25/20,"214,684","1,929,897",11.12
Alabama,5/9/20,"26,666",5/2/20,"216,856","1,929,897",11.24
Alaska,1/5/19,"1,240",12/29/18,"10,560","306,445",3.45
Alaska,1/12/19,"1,805",1/5/19,"10,605","306,108",3.46
Alaska,1/19/19,"1,423",1/12/19,"10,505","306,108",3.43
Alaska,1/26/19,"1,119",1/19/19,"10,617","306,108",3.47
Alaska,2/2/19,"1,145",1/26/19,"10,175","306,108",3.32
Alaska,2/9/19,"1,029",2/2/19,"10,324","306,108",3.37
Alaska,2/16/19,"1,022",2/9/19,"9,707","306,108",3.17
Alaska,2/23/19,904,2/16/19,"10,165","306,108",3.32
Alaska,3/2/19,926,2/23/19,"9,334","306,108",3.05
Alaska,3/9/19,949,3/2/19,"9,649","306,108",3.15
Alaska,3/16/19,955,3/9/19,"8,934","306,108",2.92
Alaska,3/23/19,850,3/16/19,"9,264","306,108",3.03
Alaska,3/30/19,887,3/23/19,"8,523","306,108",2.78
Alaska,4/6/19,891,3/30/19,"8,583","306,108",2.8
Alaska,4/13/19,992,4/6/19,"7,853","305,751",2.57
Alaska,4/20/19,862,4/13/19,"7,792","305,751",2.55
Alaska,4/27/19,863,4/20/19,"7,604","305,751",2.49
Alaska,5/4/19,823,4/27/19,"7,512","305,751",2.46
Alaska,5/11/19,771,5/4/19,"7,280","305,751",2.38
Alaska,5/18/19,819,5/11/19,"6,861","305,751",2.24
Alaska,5/25/19,987,5/18/19,"6,601","305,751",2.16
Alaska,6/1/19,973,5/25/19,"6,235","305,751",2.04
Alaska,6/8/19,909,6/1/19,"6,375","305,751",2.09
Alaska,6/15/19,733,6/8/19,"6,030","305,751",1.97
Alaska,6/22/19,754,6/15/19,"5,869","305,751",1.92
Alaska,6/29/19,689,6/22/19,"5,404","305,751",1.77
Alaska,7/6/19,552,6/29/19,"5,310","305,751",1.74
Alaska,7/13/19,696,7/6/19,"5,262","306,179",1.72
Alaska,7/20/19,649,7/13/19,"5,065","306,179",1.65
Alaska,7/27/19,619,7/20/19,"5,028","306,179",1.64
Alaska,8/3/19,682,7/27/19,"4,875","306,179",1.59
Alaska,8/10/19,693,8/3/19,"5,019","306,179",1.64
Alaska,8/17/19,698,8/10/19,"4,886","306,179",1.6
Alaska,8/24/19,701,8/17/19,"4,856","306,179",1.59
Alaska,8/31/19,682,8/24/19,"4,616","306,179",1.51
Alaska,9/7/19,687,8/31/19,"4,541","306,179",1.48
Alaska,9/14/19,716,9/7/19,"4,510","306,179",1.47
Alaska,9/21/19,808,9/14/19,"4,720","306,179",1.54
Alaska,9/28/19,866,9/21/19,"4,730","306,179",1.54
Alaska,10/5/19,856,9/28/19,"5,203","306,179",1.7
Alaska,10/12/19,"1,184",10/5/19,"5,094","306,493",1.66
